x,y
4.609877840683473949e+00,-1.596311892587547909e+00
4.701627660089791050e+00,-1.603162510288653975e+00
4.733597168443941072e+00,-1.604880394984764314e+00
4.785582546435483309e+00,-1.607249713976711236e+00
4.841471462985846408e+00,-1.610921770228106231e+00
4.865474340005932596e+00,-1.611890989103321292e+00
4.328968754469091351e+00,-1.444698132889231657e+00
4.423962335926251654e+00,-1.446796442759942458e+00
4.249174816618422668e+00,-1.437998938377228031e+00
4.261199389776784585e+00,-1.437622455770751762e+00
2.855659497818741066e+00,-1.372044089496277985e+00
2.842680162269571653e+00,-1.371196525199966265e+00
2.826701958292004768e+00,-1.370260837696044565e+00
2.823729977720042861e+00,-1.369329352858607685e+00
2.812748321395858841e+00,-1.368569542393316407e+00
2.807763526973372947e+00,-1.368001189020782604e+00
2.798780424057968563e+00,-1.367313921725349601e+00
2.801803876173382335e+00,-1.366583297379793560e+00
5.470925859142862002e+00,-1.435346666191524623e+00
5.473990308465197963e+00,-1.432978010512095057e+00
5.472023467414135034e+00,-1.431700512658905966e+00
5.472055404467787376e+00,-1.430476062518906577e+00
5.459122313562296824e+00,-1.427698069090453714e+00
5.459153032000535255e+00,-1.426477549052161509e+00
4.282963287034770694e+00,-1.376350869984336756e+00
4.238999564970261424e+00,-1.373874432770822551e+00
4.157025479566579307e+00,-1.371649195872644444e+00
4.185035498456226577e+00,-1.371286780328650146e+00
4.227043652110445748e+00,-1.371133768522665886e+00
4.260066478603658169e+00,-1.369957063390198071e+00
2.808261003350917662e+00,-1.346114836711812091e+00
2.779270053884170366e+00,-1.345285710726594530e+00
2.742284840194627371e+00,-1.343968976409344318e+00
2.721292166168666427e+00,-1.343293925978948256e+00
2.693299717270361882e+00,-1.342539753826926141e+00
2.662307155021206739e+00,-1.341764160044760068e+00
2.636318302552719928e+00,-1.340709415360282764e+00
2.619323899880860118e+00,-1.340146273308987279e+00
2.601329286197612944e+00,-1.339581878386084668e+00
2.590337826288361178e+00,-1.338760933029552014e+00
2.572342608534809560e+00,-1.338221816156498933e+00
2.558346902234345688e+00,-1.337735218744640076e+00
2.540351378791034787e+00,-1.337216813752442945e+00
2.519358776245968379e+00,-1.336355021233547546e+00
2.497362657102538464e+00,-1.335828257668684405e+00
2.488365937797787808e+00,-1.335430153196065284e+00
2.485368776618316566e+00,-1.335088897596222735e+00
2.465374624285217919e+00,-1.334300538850066831e+00
2.456377231345340473e+00,-1.333923143431956060e+00
2.444379882415698368e+00,-1.333529202545633785e+00
2.436382296789139090e+00,-1.333170724492570791e+00
2.420386631731795912e+00,-1.332468386929154702e+00
2.418388545793297428e+00,-1.332161274483640856e+00
2.407390452230900646e+00,-1.331803001634189521e+00
2.412393588411766654e+00,-1.331247243940805181e+00
2.448397439796242026e+00,-1.330524637071866412e+00
2.423400055996250746e+00,-1.329825657341613176e+00
2.421401079227898823e+00,-1.329523109854714891e+00
2.419402068027227237e+00,-1.329221780730398539e+00
2.417403674293225002e+00,-1.328627714831204454e+00
2.410404402214025410e+00,-1.328318609156936336e+00
2.412404960179082458e+00,-1.328030505769519420e+00
2.409405501749477541e+00,-1.327733408077981903e+00
2.406406211222941849e+00,-1.327147533020977876e+00
2.405406454931487303e+00,-1.326856286808279828e+00
2.404406609818796170e+00,-1.326565649765712118e+00
2.401406607550249817e+00,-1.325986475858311087e+00
2.401406484732298896e+00,-1.325697393963222837e+00
2.402406260591609666e+00,-1.325407430349120563e+00
2.404405993787810836e+00,-1.325115671132141903e+00
2.412405072722066279e+00,-1.324521315241331099e+00
2.419404516728725696e+00,-1.324214181283401404e+00
2.422403865509661802e+00,-1.323912402345580608e+00
2.426403043737791698e+00,-1.323606086626220257e+00
2.428401278029031829e+00,-1.323006057088932375e+00
2.436400209769308933e+00,-1.322679765586373790e+00
2.438399036868474479e+00,-1.322372168394930325e+00
2.444396414945223306e+00,-1.321744245283824171e+00
2.448394959095478107e+00,-1.321422700947864959e+00
2.456393294558053775e+00,-1.321078134799497095e+00
2.467389815317334811e+00,-1.320403160045762192e+00
2.474387829601872646e+00,-1.320051557279877663e+00
2.483385776156762148e+00,-1.319682960243661940e+00
2.496383451684108579e+00,-1.319282203268661746e+00
2.504378820178990495e+00,-1.318587947997426069e+00
2.518375975279820267e+00,-1.318161333697262849e+00
2.525373215074076860e+00,-1.317781406201118832e+00
2.542367324991763766e+00,-1.316983267599679319e+00
4.243282935189173877e+00,-1.299979218262978353e+00
4.054267949371943125e+00,-1.299380155339776577e+00
3.945265835281074107e+00,-1.299746181871355821e+00
3.882261449790641361e+00,-1.299675652497012779e+00
3.818257155719088747e+00,-1.299654745466280570e+00
3.732246587270607652e+00,-1.299232296426651612e+00
3.684241938479538625e+00,-1.299121128700817307e+00
3.626237985005649200e+00,-1.299163776575482432e+00
3.563234801116514472e+00,-1.299305565881099245e+00
3.505223093858599537e+00,-1.298795082527889777e+00
3.465218415443795941e+00,-1.298716771108503254e+00
3.425213883514732771e+00,-1.298662829333889990e+00
3.393200054084890116e+00,-1.297927782118460494e+00
3.442185927980355942e+00,-1.296606795666789713e+00
3.488171498148424199e+00,-1.295301557717743357e+00
3.528157132584048394e+00,-1.294061318499370339e+00
3.553133990072061099e+00,-1.292393904672054950e+00
3.661109066869324025e+00,-1.289981002043437908e+00
3.719089658218563521e+00,-1.288338372818673472e+00
3.803053638928189262e+00,-1.285501694480555956e+00
3.885028384413826252e+00,-1.283339592454880718e+00
3.958003408567086545e+00,-1.281289000588515581e+00
4.083953805389532121e+00,-1.277425399133576889e+00
4.233896140990480284e+00,-1.272948528226866216e+00
4.249876778780028452e+00,-1.271789844523398383e+00
4.262840476165328241e+00,-1.269824610997243974e+00
4.285818385982154588e+00,-1.268499861151049402e+00
4.327754729949203849e+00,-1.265016409234857253e+00
4.362727869742220932e+00,-1.263384736117880935e+00
4.385703072767149990e+00,-1.261994535956686869e+00
4.419654691370027422e+00,-1.259442221107706983e+00
4.448626701465407507e+00,-1.257876792387393028e+00
4.490594567960171091e+00,-1.255993188201010247e+00
4.517565570904467087e+00,-1.254435331849233393e+00
4.584501817633265475e+00,-1.250957909648697575e+00
