Type,x,y,angle
S,49,50,0
S,49,50,90
S,240,290,0
S,240,290,-90
S,522,221,0
S,522,221,-90
S,925,378,-90
O,23,249,0
O,133,222,0
O,226,15,0
O,266,19,0
O,320,233,0
O,320,146,0
O,422,122,0
O,518,24,0
O,522,124,0
O,637,251,0
O,684,130,0
O,877,383,0
O,966,234,0
O,969,312,0
B,140,16,0
B,420,155,90
B,639,100,40
B,876,343,90
